Postleitzahl / Code Postal / Codice Postale;Ort / Ville / Città;Kanton;Canton;Cantone;Abkürzung / Abréviation / Abbreviazione;Land;Pays;Paese
1000;Lausanne;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1003;Lausanne;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1004;Lausanne;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1005;Lausanne;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1006;Lausanne;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1007;Lausanne;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1008;Jouxtens-Mézery;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1008;Prilly;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1009;Pully;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1010;Lausanne;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1011;Lausanne;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1012;Lausanne;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1015;Lausanne;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1018;Lausanne;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1020;Renens VD;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1022;Chavannes-près-Renens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1023;Crissier;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1024;Ecublens VD;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1025;St-Sulpice VD;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1026;Denges;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1026;Echandens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1027;Lonay;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1028;Préverenges;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1029;Villars-Ste-Croix;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1030;Bussigny-près-Lausanne;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1031;Mex VD;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1032;Romanel-sur-Lausanne;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1033;Cheseaux-sur-Lausanne;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1034;Boussens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1035;Bournens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1036;Sullens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1037;Etagnières;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1038;Bercher;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1040;St-Barthélemy VD;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1040;Villars-le-Terroir;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1040;Echallens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1041;Dommartin;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1041;Poliez-Pittet;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1041;Bottens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1041;Naz;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1041;Montaubion-Chardonney;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1041;Poliez-le-Grand;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1042;Bettens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1042;Bioley-Orjulaz;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1042;Assens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1043;Sugnens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1044;Fey;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1045;Ogens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1046;Rueyres;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1047;Oppens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1052;Le Mont-sur-Lausanne;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1053;Bretigny-sur-Morrens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1053;Cugy VD;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1054;Morrens VD;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1055;Froideville;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1058;Villars-Tiercelin;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1059;Peney-le-Jorat;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1061;Villars-Mendraz;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1062;Sottens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1063;Peyres-Possens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1063;Boulens;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1063;Chapelle-sur-Moudon;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1063;Martherenges;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1066;Epalinges;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1068;Les Monts-de-Pully;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1070;Puidoux;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1071;Rivaz;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1071;St-Saphorin (Lavaux);Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1071;Chexbres;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1072;Forel (Lavaux);Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
1073;Mollie-Margot;Waadt;Vaud;Vaud;VD;Schweiz;Suisse;Svizzera
